date,actor1,actor2,event_code,goldstein,mentions,is_military,is_supply,is_diplomatic,url
2026-09-20,SOUTH KOREA,RUSSIA,062,7.4,2,False,False,False,https://www.digi24.ro/stiri/externe/ascensiunea-fulgeratoare-a-coreei-de-nord-cum-a-reusit-kim-jong-un-sa-scoata-tara-din-izolare-sprijinind-rusia-in-razboiul-din-ucraina-3950669
2026-09-20,NORTH KOREA,SOUTH KOREA,062,7.4,2,False,False,False,https://www.digi24.ro/stiri/externe/ascensiunea-fulgeratoare-a-coreei-de-nord-cum-a-reusit-kim-jong-un-sa-scoata-tara-din-izolare-sprijinind-rusia-in-razboiul-din-ucraina-3950669
2026-09-20,SOUTH KOREA,RUSSIA,062,7.4,2,False,False,False,https://www.digi24.ro/stiri/externe/ascensiunea-fulgeratoare-a-coreei-de-nord-cum-a-reusit-kim-jong-un-sa-scoata-tara-din-izolare-sprijinind-rusia-in-razboiul-din-ucraina-3950669
2026-09-20,SOUTH KOREA,CHINA,046,7.0,8,False,False,False,https://yle.fi/a/7-10104292
2026-09-20,SOUTH KOREA,CHINA,046,7.0,2,False,False,False,https://yle.fi/a/7-10104292
2026-09-20,CHINA,SOUTH KOREA,036,4.0,1,False,False,False,https://spacewar.com/zelensky-to-take-center-stage-as-nato-summit-also-looks-to-asia-999/
2026-09-20,CHINA,SOUTH KOREA,036,4.0,3,False,False,False,https://spacewar.com/zelensky-to-take-center-stage-as-nato-summit-also-looks-to-asia-999/
2026-09-20,CHINA,SOUTH KOREA,036,4.0,1,False,False,False,https://spacewar.com/zelensky-to-take-center-stage-as-nato-summit-also-looks-to-asia-999/
2026-09-20,JAPAN,SOUTH KOREA,111,-2.0,1,False,False,False,https://www.pr-inside.com/world-brand-lab-releases-asia-s-500-most-influential-brands-of-r5224979.htm
2026-09-20,SAMSUNG,CHINA,111,-2.0,3,False,False,False,https://www.pr-inside.com/world-brand-lab-releases-asia-s-500-most-influential-brands-of-r5224979.htm
2026-09-20,CHINA,SAMSUNG,040,1.0,5,False,False,False,https://www.pr-inside.com/world-brand-lab-releases-asia-s-500-most-influential-brands-of-r5224979.htm
2026-09-20,SAMSUNG,CHINA,040,1.0,5,False,False,False,https://www.pr-inside.com/world-brand-lab-releases-asia-s-500-most-influential-brands-of-r5224979.htm
2026-09-20,JAPAN,SOUTH KOREA,111,-2.0,1,False,False,False,https://www.pr-inside.com/world-brand-lab-releases-asia-s-500-most-influential-brands-of-r5224979.htm
2026-09-20,JAPAN,SOUTH KOREA,111,-2.0,3,False,False,False,https://www.pr-inside.com/world-brand-lab-releases-asia-s-500-most-influential-brands-of-r5224979.htm
2026-09-20,SAMSUNG,CHINA,111,-2.0,2,False,False,False,https://www.pr-inside.com/world-brand-lab-releases-asia-s-500-most-influential-brands-of-r5224979.htm
2026-09-20,SEOUL,JAPAN,111,-2.0,8,False,False,False,https://www.edaily.co.kr/News/Read?newsId=01469446645582088&mediaCodeNo=257
2026-09-20,SEOUL,JAPAN,111,-2.0,10,False,False,False,https://www.edaily.co.kr/News/Read?newsId=01469446645582088&mediaCodeNo=257
2026-09-20,SEOUL,JAPAN,111,-2.0,2,False,False,False,https://www.edaily.co.kr/News/Read?newsId=01469446645582088&mediaCodeNo=257
2026-09-20,HYUNDAI,UNITED STATES,043,2.8,2,False,False,False,https://www.koreatimes.co.kr/business/companies/20260920/hyundai-motor-bets-on-redesigned-tucson-suv-for-sales-rebound
2026-09-20,UNITED STATES,HYUNDAI,042,1.9,2,False,False,False,https://www.koreatimes.co.kr/business/companies/20260920/hyundai-motor-bets-on-redesigned-tucson-suv-for-sales-rebound
2026-09-20,SOUTH KOREA,UNITED STATES,164,-7.0,1,False,False,True,https://www.koreatimes.co.kr/foreignaffairs/others/20260920/cover-story-korea-us-200-bil-investment-talks-hit-last-stage-hurdles-over-commercial-viability
2026-09-20,CHINA,SOUTH KOREA,111,-2.0,2,False,False,False,https://www.hani.co.kr/arti/english_edition/e_international/1278639.html
2026-09-20,SOUTH KOREA,CHINA,036,4.0,1,False,False,False,https://www.hani.co.kr/arti/english_edition/e_international/1278639.html
2026-09-20,BEIJING,SEOUL,111,-2.0,6,False,False,False,https://www.hani.co.kr/arti/english_edition/e_international/1278639.html
2026-09-20,SOUTH KOREA,CHINA,036,4.0,1,False,False,False,https://www.hani.co.kr/arti/english_edition/e_international/1278639.html
2026-09-20,JAPAN,SOUTH KOREA,036,4.0,2,False,False,False,https://www.travelerstoday.com/articles/61009/20260919/seoul-welcome-week-free-heritage-passes-are-now-airport-counters-while-supplies-last.htm
2026-09-20,SOUTH KOREA,JAPAN,036,4.0,4,False,False,False,https://www.travelerstoday.com/articles/61009/20260919/seoul-welcome-week-free-heritage-passes-are-now-airport-counters-while-supplies-last.htm
2026-09-20,SEOUL,JAPAN,036,4.0,4,False,False,False,https://www.travelerstoday.com/articles/61009/20260919/seoul-welcome-week-free-heritage-passes-are-now-airport-counters-while-supplies-last.htm
2026-09-20,SOUTH KOREA,JAPAN,036,4.0,2,False,False,False,https://www.travelerstoday.com/articles/61009/20260919/seoul-welcome-week-free-heritage-passes-are-now-airport-counters-while-supplies-last.htm
2026-09-20,JAPAN,SOUTH KOREA,036,4.0,4,False,False,False,https://www.travelerstoday.com/articles/61009/20260919/seoul-welcome-week-free-heritage-passes-are-now-airport-counters-while-supplies-last.htm
2026-09-20,JAPAN,SEOUL,036,4.0,4,False,False,False,https://www.travelerstoday.com/articles/61009/20260919/seoul-welcome-week-free-heritage-passes-are-now-airport-counters-while-supplies-last.htm
2026-09-20,HYUNDAI,THE US,130,-4.4,3,False,False,False,https://www.carscoops.com/2026/09/hyundai-sounds-alarm-over-chinese-cars-in-the-us/
2026-09-20,HYUNDAI,THE US,130,-4.4,8,False,False,False,https://www.carscoops.com/2026/09/hyundai-sounds-alarm-over-chinese-cars-in-the-us/
2026-09-20,HYUNDAI,THE US,130,-4.4,4,False,False,False,https://www.carscoops.com/2026/09/hyundai-sounds-alarm-over-chinese-cars-in-the-us/
2026-09-20,UNITED STATES,SOUTH KOREA,020,3.0,2,False,False,False,https://www.fnnews.com/news/202609200650559889
2026-09-20,UNITED STATES,SOUTH KOREA,020,3.0,2,False,False,False,https://www.fnnews.com/news/202609200650559889
2026-09-20,UNITED STATES,SOUTH KOREA,020,3.0,6,False,False,False,https://www.fnnews.com/news/202609200650559889
